Male,Partner,Dependents,SeniorCitizen,DurationMonths,PhoneService,MultipleLines,NoInternet,DSLInternet,FiberOpticInternet,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,MonthlyCharges,Contract,Churn
1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,45.25,Month-to-month,0
0,1,1,0,72,1,1,0,0,1,1,1,0,1,1,0,99.9,Two year,0
1,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,69.7,Month-to-month,1
0,0,0,0,46,1,0,0,0,1,0,0,1,0,0,0,74.8,Month-to-month,0
1,0,0,0,34,1,1,0,0,1,0,1,1,0,1,1,106.35,Month-to-month,1
0,0,0,0,11,1,1,0,0,1,0,0,1,0,1,1,97.85,Month-to-month,1
1,1,1,0,10,1,0,0,1,0,0,1,0,0,0,0,49.55,One year,0
0,1,1,0,70,1,1,0,1,0,1,1,0,0,1,0,69.2,Two year,0
0,1,1,0,17,1,0,1,0,0,0,0,0,0,0,0,20.75,One year,0
0,0,0,0,63,1,1,0,1,0,1,1,1,1,1,0,79.85,Two year,0
0,1,0,0,13,1,1,0,1,0,1,1,0,1,1,0,76.2,Month-to-month,0
0,0,0,0,49,1,1,0,0,1,0,0,0,0,0,1,84.5,Month-to-month,0
1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,49.25,Month-to-month,0
0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,80.65,Month-to-month,1
1,0,0,0,52,1,1,0,1,0,1,0,0,1,1,1,79.75,Two year,0
0,1,1,0,69,1,1,0,1,0,1,0,1,1,0,0,64.15,Two year,0
0,0,0,1,43,1,1,0,0,1,0,1,0,0,1,0,90.25,Month-to-month,0
0,0,0,0,15,1,0,0,0,1,1,1,0,0,1,1,99.1,Month-to-month,1
0,1,0,1,25,1,1,0,1,0,1,0,0,1,1,0,69.5,Month-to-month,0
0,1,0,1,8,1,1,0,0,1,0,1,0,0,0,0,80.65,Month-to-month,1
0,1,1,1,60,1,0,0,1,0,1,1,1,1,0,1,74.85,One year,0
1,0,0,1,18,1,1,0,0,1,0,0,0,0,1,1,95.45,Month-to-month,1
0,1,1,0,63,1,1,0,0,1,1,0,0,0,1,1,99.65,One year,0
1,1,1,1,66,1,1,0,0,1,0,1,1,1,1,1,108.45,One year,0
0,1,1,0,34,1,1,1,0,0,0,0,0,0,0,0,24.95,Two year,0
0,0,0,0,72,1,1,0,0,1,0,0,1,1,1,1,107.5,Two year,0
0,1,0,0,47,1,1,0,0,1,0,0,1,0,1,1,100.5,Month-to-month,0
1,0,0,0,60,1,1,0,0,1,0,1,0,0,1,0,89.9,Month-to-month,0
1,1,0,0,72,0,0,0,1,0,1,1,1,0,0,0,42.1,Two year,0
0,1,1,0,18,1,0,0,1,0,0,0,1,1,0,0,54.4,One year,0
0,0,0,0,9,1,1,0,0,1,0,0,0,0,1,1,94.4,Month-to-month,1
0,0,0,0,3,1,0,0,1,0,0,1,0,1,1,1,75.3,Month-to-month,0
1,1,0,0,47,1,1,0,0,1,0,1,0,0,0,0,78.9,One year,0
0,0,0,0,31,1,0,0,1,0,0,1,1,1,1,1,79.2,Two year,0
0,1,1,0,50,1,0,1,0,0,0,0,0,0,0,0,20.15,Two year,0
1,0,0,0,10,1,0,0,0,1,1,0,1,0,0,0,79.85,Month-to-month,0
1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,49.05,Month-to-month,0
0,1,1,0,52,1,0,1,0,0,0,0,0,0,0,0,20.4,One year,0
1,1,1,1,64,1,1,0,0,1,1,0,1,1,1,1,111.6,Two year,0
1,1,1,0,62,1,1,1,0,0,0,0,0,0,0,0,24.25,Two year,0
0,0,1,0,3,1,0,0,1,0,1,0,0,1,0,1,64.5,Month-to-month,0
0,0,0,1,56,1,1,0,0,1,1,1,1,0,1,1,110.5,One year,0
0,0,0,0,46,1,0,0,1,0,0,0,0,0,0,1,55.65,One year,0
0,1,1,0,8,1,0,0,1,0,1,1,0,0,0,0,54.65,Month-to-month,0
1,0,0,1,30,1,0,0,1,0,1,1,0,0,1,1,74.75,Month-to-month,0
0,1,1,0,45,1,1,1,0,0,0,0,0,0,0,0,25.9,One year,0
0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,79.35,Month-to-month,1
0,1,1,0,11,0,0,0,1,0,1,0,0,0,1,1,50.55,Month-to-month,0
0,1,0,0,7,1,0,0,0,1,0,0,1,0,0,0,75.15,Month-to-month,1
0,0,0,0,42,1,0,0,0,1,0,1,1,1,1,1,103.8,Month-to-month,0
0,1,0,0,49,1,0,1,0,0,0,0,0,0,0,0,20.15,Two year,0
1,0,0,0,9,1,1,0,0,1,0,1,0,0,1,1,99.3,Month-to-month,0
0,1,0,0,35,1,0,0,1,0,1,0,0,0,1,0,62.15,One year,0
0,1,1,0,48,1,0,1,0,0,0,0,0,0,0,0,20.65,Two year,0
0,1,1,0,46,1,0,1,0,0,0,0,0,0,0,0,19.95,Two year,0
1,1,0,0,29,0,0,0,1,0,0,0,0,0,1,0,33.75,Month-to-month,0
1,1,1,0,30,1,0,0,0,1,0,1,1,0,0,0,82.05,Month-to-month,0
1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,74.7,Month-to-month,0
1,1,1,0,66,1,1,0,1,0,1,0,1,1,1,1,84.0,Two year,0
0,0,0,0,65,1,1,0,0,1,1,1,1,0,1,1,111.05,Month-to-month,0
1,0,0,0,72,1,1,0,0,1,0,1,1,0,1,1,100.9,Two year,0
0,0,0,0,12,1,1,0,0,1,1,0,0,0,0,0,78.95,Month-to-month,1
1,1,1,0,71,1,1,0,1,0,1,1,0,1,0,0,66.85,One year,0
1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,21.05,Month-to-month,1
1,0,0,0,52,1,0,1,0,0,0,0,0,0,0,0,21.0,Two year,0
0,1,0,1,25,1,0,0,0,1,0,1,1,0,1,1,98.5,Month-to-month,1
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,20.2,Month-to-month,0
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,19.45,Month-to-month,0
1,0,0,0,38,1,1,0,0,1,0,0,1,1,1,0,95.0,One year,0
0,1,0,1,66,0,0,0,1,0,0,1,1,0,1,0,45.55,One year,0
1,1,0,0,68,1,1,0,0,1,0,1,1,1,1,1,110.0,Two year,1
1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,24.3,Month-to-month,0
0,1,1,0,72,1,1,0,0,1,1,1,0,0,1,1,104.15,One year,0
0,0,0,0,32,0,0,0,1,0,1,0,0,0,0,0,30.15,One year,0
1,0,0,0,43,1,1,0,0,1,0,0,0,0,1,1,94.35,One year,0
1,1,1,0,72,1,0,1,0,0,0,0,0,0,0,0,19.4,Two year,0
1,1,0,0,55,1,1,0,0,1,1,1,0,0,1,0,96.75,Month-to-month,1
0,0,0,0,52,1,0,0,1,0,1,0,1,1,0,0,57.95,One year,0
0,0,0,0,43,1,0,0,0,1,0,1,1,0,1,0,91.65,Month-to-month,0
0,1,0,1,37,1,1,0,0,1,0,0,0,0,0,0,76.5,Month-to-month,1
0,1,1,0,64,0,0,0,1,0,0,1,0,1,1,1,54.6,Two year,0
1,1,1,0,3,1,0,0,0,1,1,1,0,0,1,0,89.85,Month-to-month,0
0,0,0,0,36,0,0,0,1,0,1,0,0,0,0,0,31.05,Two year,0
0,1,1,0,10,1,1,0,0,1,1,0,0,0,1,1,100.25,Month-to-month,1
0,0,0,0,41,1,0,1,0,0,0,0,0,0,0,0,20.65,Two year,0
1,1,1,0,27,1,1,0,0,1,0,1,0,1,0,0,85.2,Month-to-month,0
0,1,1,0,56,1,1,0,0,1,0,0,1,0,1,1,99.8,One year,0
0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,20.7,Month-to-month,0
1,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,74.4,Month-to-month,1
0,1,1,0,7,1,0,0,1,0,1,0,0,0,0,0,50.7,Month-to-month,0
0,1,1,0,4,1,0,1,0,0,0,0,0,0,0,0,20.85,Month-to-month,0
1,0,0,0,33,1,0,0,0,1,1,0,0,1,1,0,88.95,Two year,0
0,0,0,1,27,1,1,0,0,1,0,0,1,0,0,0,78.05,Month-to-month,1
1,1,0,0,72,1,1,1,0,0,0,0,0,0,0,0,23.55,Two year,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,19.75,Month-to-month,0
1,0,0,1,71,0,0,0,1,0,1,1,0,0,1,1,56.45,One year,0
0,0,0,0,13,1,1,0,0,1,0,0,0,0,0,1,85.95,Month-to-month,0
0,1,1,0,25,0,0,0,1,0,1,1,1,0,1,1,58.6,Month-to-month,1
1,0,0,0,67,1,0,0,1,0,0,0,0,1,0,0,50.55,Two year,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,35.45,Month-to-month,1
1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,44.35,Month-to-month,1
0,0,0,0,43,1,1,1,0,0,0,0,0,0,0,0,25.7,Two year,0
0,0,0,0,23,1,0,0,0,1,1,0,0,0,0,0,75.0,Month-to-month,0
0,1,1,0,64,1,0,1,0,0,0,0,0,0,0,0,20.2,Two year,0
1,0,1,0,57,1,0,1,0,0,0,0,0,0,0,0,19.6,Two year,0
0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,70.45,Month-to-month,1
0,1,1,1,72,1,1,0,1,0,1,1,1,1,1,1,88.05,Two year,0
0,0,0,0,8,1,1,0,1,0,1,0,0,1,0,1,71.15,Month-to-month,1
0,1,0,0,61,1,1,0,0,1,0,1,0,0,1,1,101.05,Two year,0
1,0,0,0,64,1,1,0,0,1,1,1,0,0,0,0,84.3,One year,0
1,1,0,1,71,1,1,1,0,0,0,0,0,0,0,0,23.95,Two year,0
0,1,1,0,65,1,1,0,0,1,1,1,0,1,1,0,99.05,Two year,0
1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,19.6,One year,0
1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,45.65,Month-to-month,1
1,0,1,0,30,1,0,0,1,0,0,1,1,0,1,0,64.5,One year,0
1,1,1,0,15,1,0,0,1,0,0,1,1,1,0,1,69.5,Month-to-month,0
0,1,1,0,8,1,0,0,1,0,0,0,0,1,1,1,68.55,Month-to-month,0
1,0,0,0,7,1,1,0,0,1,0,0,0,0,1,1,95.0,Month-to-month,1
0,1,1,0,70,1,1,0,0,1,1,1,1,0,1,1,108.15,One year,0
1,1,1,0,62,1,0,0,1,0,1,1,1,1,1,1,86.1,Two year,0
0,1,1,0,6,1,0,1,0,0,0,0,0,0,0,0,19.7,Month-to-month,0
0,1,1,0,14,1,0,0,0,1,0,0,0,0,0,1,80.9,Month-to-month,0
0,0,0,0,22,1,1,0,0,1,0,0,0,0,1,0,84.15,Month-to-month,0
1,1,1,0,22,1,0,1,0,0,0,0,0,0,0,0,20.15,One year,0
1,1,1,0,16,1,0,0,1,0,1,0,1,0,1,0,64.25,Two year,0
1,0,0,0,10,1,1,1,0,0,0,0,0,0,0,0,25.7,Two year,0
0,0,1,0,13,1,0,0,1,0,1,1,0,0,0,0,56.0,Month-to-month,0
0,1,0,0,20,1,1,0,0,1,1,0,0,0,0,0,82.4,Month-to-month,1
0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,69.7,Month-to-month,0
1,0,0,0,53,1,1,0,1,0,0,1,1,1,0,1,73.9,Two year,0
0,1,1,0,11,1,0,1,0,0,0,0,0,0,0,0,20.6,One year,0
1,1,0,0,69,1,0,1,0,0,0,0,0,0,0,0,19.9,Two year,0
0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,70.9,Month-to-month,1
1,1,0,0,72,1,1,0,1,0,1,1,1,1,1,1,89.05,Two year,0
1,1,0,1,58,0,0,0,1,0,0,1,1,0,0,1,45.3,Month-to-month,1
0,1,1,0,16,1,0,1,0,0,0,0,0,0,0,0,20.4,Month-to-month,0
1,1,0,0,43,1,0,0,0,1,1,0,1,1,0,0,84.25,One year,0
0,1,0,0,2,1,1,0,0,1,0,0,1,1,1,1,104.4,Month-to-month,1
1,1,0,0,14,1,0,0,1,0,0,1,1,1,1,1,81.95,Two year,0
0,1,0,0,53,1,0,0,0,1,0,0,1,0,1,1,94.85,One year,1
0,0,0,0,32,1,0,1,0,0,0,0,0,0,0,0,20.55,One year,0
0,1,0,0,34,1,1,1,0,0,0,0,0,0,0,0,24.7,Month-to-month,0
0,0,0,1,15,1,1,0,0,1,0,0,0,0,0,0,74.45,Month-to-month,1
0,0,0,1,7,1,0,0,0,1,1,0,0,0,0,0,76.45,Month-to-month,1
0,1,1,0,15,1,1,0,0,1,0,1,1,0,1,1,105.35,Month-to-month,0
1,1,0,0,61,1,0,1,0,0,0,0,0,0,0,0,20.55,One year,0
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,29.95,Month-to-month,1
0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,45.3,Month-to-month,0
1,0,0,0,8,1,1,0,0,1,0,0,0,0,0,1,84.5,Month-to-month,1
1,1,1,0,33,1,0,0,1,0,1,0,1,0,1,1,74.75,One year,0
0,0,0,0,13,1,0,0,0,1,0,1,1,0,0,0,79.25,Month-to-month,1
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,24.8,Month-to-month,1
1,0,0,0,20,1,0,0,1,0,0,1,0,0,0,0,51.8,Month-to-month,0
1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,30.4,Month-to-month,0
0,0,0,0,13,1,0,1,0,0,0,0,0,0,0,0,19.65,One year,0
0,1,0,0,40,1,1,0,1,0,0,1,0,0,0,0,56.6,Month-to-month,0
1,1,1,0,43,1,1,0,1,0,1,0,0,1,0,1,71.9,One year,0
1,1,0,0,6,1,0,0,0,1,0,1,1,0,0,1,91.0,Month-to-month,1
0,1,1,0,69,1,0,1,0,0,0,0,0,0,0,0,19.75,Two year,0
0,1,1,0,72,1,1,0,0,1,1,1,1,0,1,1,109.7,Two year,0
1,1,1,0,59,1,0,1,0,0,0,0,0,0,0,0,19.3,Two year,0
0,1,0,0,20,1,0,0,0,1,1,1,0,1,1,0,96.55,Month-to-month,0
1,1,1,0,24,1,1,1,0,0,0,0,0,0,0,0,24.1,Two year,0
1,0,0,0,59,1,1,0,0,1,0,1,1,1,1,1,111.35,Month-to-month,0
1,1,1,0,72,1,1,0,0,1,0,1,1,1,1,1,112.25,Two year,0
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,20.75,Month-to-month,0
0,1,0,0,27,1,0,0,0,1,1,0,0,1,1,1,101.9,One year,0
0,0,0,0,14,1,0,0,0,1,0,1,0,1,0,0,80.05,Month-to-month,0
1,1,1,0,71,1,1,0,0,1,1,0,1,0,1,1,105.55,Two year,0
1,0,1,0,13,1,0,0,0,1,0,0,0,0,1,0,78.3,Month-to-month,0
1,0,0,0,44,1,0,0,0,1,0,0,0,0,0,0,68.85,Month-to-month,0
0,0,0,0,33,1,0,0,0,1,0,1,0,1,0,0,79.95,One year,0
1,1,1,0,72,0,0,0,1,0,1,1,1,1,0,1,55.45,Two year,0
1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,79.9,Month-to-month,1
0,0,0,0,19,1,0,0,0,1,1,0,1,1,1,1,106.6,Month-to-month,1
1,1,0,0,64,1,0,0,0,1,0,1,1,1,1,1,102.45,One year,0
1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,46.0,Month-to-month,1
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,25.25,Month-to-month,0
1,0,1,0,61,1,0,1,0,0,0,0,0,0,0,0,19.75,Two year,0
0,1,1,0,29,1,0,1,0,0,0,0,0,0,0,0,20.0,One year,0
1,1,0,1,23,1,1,0,0,1,0,0,0,0,0,1,86.8,Month-to-month,0
0,1,0,0,57,0,0,0,1,0,1,1,1,0,1,1,58.75,Month-to-month,0
1,1,1,0,72,0,0,0,1,0,1,1,1,1,0,0,45.25,Two year,0
1,1,0,0,66,0,0,0,1,0,1,1,1,1,1,0,56.6,Two year,0
1,1,1,0,65,1,1,0,1,0,0,1,1,1,1,1,84.2,Two year,0
0,0,0,0,8,1,0,0,0,1,0,0,0,0,1,0,80.0,Month-to-month,0
0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,70.15,Month-to-month,1
0,1,0,0,71,1,1,1,0,0,0,0,0,0,0,0,24.75,Two year,0
1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,20.2,One year,0
1,1,0,0,4,1,0,0,1,0,0,0,0,1,0,0,50.05,Month-to-month,1
0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,19.35,One year,0
1,0,0,0,24,0,0,0,1,0,1,0,0,0,1,1,50.6,One year,0
0,1,1,0,31,1,0,0,1,0,1,0,1,1,1,1,81.15,One year,0
0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,55.2,Month-to-month,1
1,0,0,0,30,1,1,0,0,1,0,0,0,1,0,1,89.9,Month-to-month,0
0,1,1,0,47,1,1,0,1,0,1,1,0,1,1,1,85.3,Two year,0
1,0,0,0,54,1,1,0,0,1,1,1,0,1,1,1,108.0,Two year,0
1,0,0,0,50,1,0,0,0,1,1,1,0,1,0,1,93.5,Month-to-month,0
1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,84.6,Month-to-month,1
0,0,0,0,72,1,0,1,0,0,0,0,0,0,0,0,20.25,Two year,0
0,0,0,0,29,1,1,1,0,0,0,0,0,0,0,0,25.15,Month-to-month,0
1,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,54.4,Month-to-month,1
0,0,0,0,10,0,0,0,1,0,0,0,0,1,0,0,29.6,Two year,0
1,1,0,0,18,1,1,0,0,1,0,0,0,0,0,0,73.15,Month-to-month,0
0,0,0,1,11,1,0,0,0,1,0,1,0,0,1,1,95.0,Month-to-month,1
1,0,0,0,16,1,0,1,0,0,0,0,0,0,0,0,19.75,Two year,0
0,0,0,0,72,1,1,0,1,0,0,1,1,1,1,1,86.6,Two year,0
1,0,0,0,72,1,1,0,0,1,0,1,1,1,1,1,109.2,Two year,0
0,1,1,0,41,1,0,0,1,0,1,0,0,1,1,1,74.7,One year,0
0,1,0,1,65,1,0,0,0,1,1,1,1,0,0,1,94.4,Month-to-month,0
0,0,0,1,13,1,0,0,1,0,0,1,1,0,0,0,54.8,Month-to-month,0
1,0,0,1,4,1,0,0,0,1,1,0,0,0,0,0,75.35,Month-to-month,0
1,0,0,0,41,1,1,0,1,0,0,0,1,0,0,1,65.0,One year,0
1,0,0,1,15,1,0,0,0,1,0,1,0,0,0,0,74.4,Month-to-month,1
1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,48.55,Month-to-month,1
1,0,0,0,42,1,1,0,0,1,1,1,1,0,0,1,99.0,One year,0
0,1,0,0,51,1,0,0,0,1,1,1,1,0,1,0,93.5,One year,0
0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,70.4,Month-to-month,1
1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,40.2,Month-to-month,1
1,0,1,0,32,1,1,0,1,0,0,1,1,1,1,1,83.7,One year,0
1,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,19.85,Month-to-month,0
0,1,1,0,67,0,0,0,1,0,0,1,1,1,1,1,59.55,Two year,0
0,1,1,0,61,1,1,0,0,1,1,1,1,1,1,1,115.1,Two year,0
1,0,0,0,50,1,1,0,0,1,1,1,1,1,1,1,114.35,One year,0
0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,44.6,Month-to-month,1
0,1,0,1,29,0,0,0,1,0,1,0,1,0,0,1,45.0,Month-to-month,0
1,0,0,1,3,0,0,0,1,0,0,0,1,0,0,1,41.15,Month-to-month,1
1,0,0,1,13,1,1,0,0,1,0,1,1,0,1,1,106.9,Month-to-month,1
1,1,0,1,57,1,1,0,0,1,0,1,0,0,0,1,89.85,Month-to-month,0
0,0,0,0,31,0,0,0,1,0,1,1,0,1,0,1,49.85,Two year,0
0,1,0,0,45,1,1,0,0,1,1,1,1,1,1,1,113.3,One year,0
0,1,1,0,61,1,1,0,1,0,1,1,1,1,1,1,88.1,Two year,0
1,0,0,0,50,1,1,1,0,0,0,0,0,0,0,0,24.9,Two year,0
0,0,0,1,19,1,0,0,0,1,1,1,0,1,1,1,105.0,Month-to-month,0
1,0,0,0,59,1,0,1,0,0,0,0,0,0,0,0,19.35,Two year,1
0,1,0,0,71,1,1,1,0,0,0,0,0,0,0,0,24.25,Two year,0
0,0,0,1,16,1,0,0,0,1,0,0,0,1,1,1,94.45,Month-to-month,1
1,1,0,0,57,1,0,0,1,0,1,1,0,1,0,0,59.75,Two year,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,24.8,Month-to-month,1
1,1,0,1,20,1,1,0,0,1,0,1,0,1,1,1,107.05,Month-to-month,0
1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,70.6,Month-to-month,1
1,1,0,0,5,1,1,0,0,1,0,1,0,1,0,0,85.4,Month-to-month,1
0,1,0,0,52,1,1,0,0,1,0,1,1,0,1,1,105.05,Month-to-month,1
1,1,0,1,21,1,0,0,1,0,1,1,0,0,0,1,64.95,Month-to-month,0
1,0,0,0,14,0,0,0,1,0,0,0,1,1,1,1,55.0,Month-to-month,0
0,0,0,0,5,1,0,0,1,0,0,1,0,0,0,0,50.55,Month-to-month,0
0,0,0,0,6,1,0,0,1,0,1,1,0,0,0,0,55.15,Month-to-month,0
0,0,0,0,10,1,0,0,1,0,0,1,0,0,0,0,51.2,Month-to-month,0
0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,25.4,Month-to-month,0
0,0,0,0,68,1,1,0,1,0,1,0,0,0,0,0,54.45,Month-to-month,0
1,1,1,0,18,1,0,0,0,1,0,0,1,0,1,1,95.15,Month-to-month,1
0,0,0,0,22,1,1,0,0,1,0,0,0,0,0,0,76.0,One year,0
0,0,0,0,20,1,0,0,1,0,0,0,0,0,0,0,44.35,Month-to-month,0
1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,70.0,Month-to-month,1
1,0,0,1,8,1,0,0,0,1,0,1,0,0,0,0,74.5,Month-to-month,1
1,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,44.85,Month-to-month,1
1,0,0,1,24,1,1,0,0,1,0,0,0,0,0,0,76.1,Month-to-month,1
1,0,0,0,35,1,0,0,1,0,1,1,1,0,0,0,61.2,One year,0
1,1,1,0,23,1,0,0,0,1,0,1,1,1,0,0,86.8,One year,0
0,0,0,1,6,1,0,0,0,1,0,0,0,0,1,1,89.35,Month-to-month,0
0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,19.7,Month-to-month,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,20.25,Month-to-month,0
0,1,1,0,71,1,0,0,0,1,0,0,1,0,0,0,76.05,Two year,0
1,1,0,1,35,1,1,0,0,1,0,0,1,0,1,1,100.8,Month-to-month,0
1,1,1,0,40,1,1,0,1,0,0,0,1,0,1,1,74.55,Month-to-month,0
0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,73.6,Month-to-month,1
1,0,0,0,23,1,0,0,1,0,0,0,0,0,1,1,64.9,One year,0
0,0,0,1,4,1,1,0,0,1,0,0,0,0,1,1,95.45,Month-to-month,1
1,0,0,0,4,1,0,0,0,1,0,0,1,1,0,1,90.4,Month-to-month,0
0,1,1,0,68,0,0,0,1,0,0,1,1,1,1,1,60.3,Two year,0
1,0,1,0,38,1,1,0,0,1,0,1,0,0,0,0,81.85,Month-to-month,0
1,1,1,0,52,1,1,1,0,0,0,0,0,0,0,0,24.8,Two year,0
1,1,0,1,32,1,1,0,0,1,0,0,0,0,0,0,74.9,Month-to-month,1
1,1,1,0,29,1,0,0,1,0,0,0,1,1,1,1,75.55,Two year,0
1,1,1,1,38,1,1,0,0,1,0,1,0,0,1,1,101.15,Month-to-month,0
1,0,1,0,48,1,1,0,1,0,1,0,1,0,1,1,78.75,One year,0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,19.25,Month-to-month,0
0,0,0,0,22,1,0,0,0,1,1,0,0,1,0,1,89.05,Month-to-month,0
0,0,0,0,43,1,1,0,0,1,1,1,1,1,1,1,115.05,Two year,0
0,1,0,1,5,1,0,0,0,1,0,0,0,0,0,0,69.35,Month-to-month,0
1,0,0,0,5,1,0,0,0,1,0,0,0,0,1,0,80.6,Month-to-month,1
1,1,1,0,51,1,1,0,0,1,1,1,0,1,1,1,110.05,One year,0
